recency,frequency,monetary_value,y_km
475,1,124.99,2
298,1,225.98,0
298,1,225.98,0
484,1,124.99,2
212,1,106.99,1
529,1,126.99,2
475,1,124.99,2
534,1,126.99,2
172,1,116.99,1
220,1,213.98,0
220,1,213.98,0
571,1,239.98,0
571,1,239.98,0
436,1,124.99,2
323,1,112.99,2
493,1,124.99,2
529,1,126.99,2
458,1,124.99,2
497,1,124.99,2
153,1,116.99,1
470,1,124.99,2
270,1,112.99,2
191,1,116.99,1
27,2,333.97,3
483,1,124.99,2
404,1,239.98,0
404,1,239.98,0
443,1,124.99,2
217,1,213.98,0
217,1,213.98,0
482,1,249.98,0
482,1,249.98,0
567,1,119.99,2
341,2,359.94,3
254,1,248.0,0
16,2,358.79,3
107,1,139.94,1
241,1,139.94,0
70,1,139.94,1
174,1,149.94,0
55,1,319.96,0
55,1,319.96,0
301,1,149.94,0
313,1,149.94,0
36,1,230.0,0
429,1,230.0,0
196,1,14.99,1
241,1,14.99,1
229,1,29.98,1
229,1,29.98,1
228,2,84.97999999999999,3
228,2,84.97999999999999,3
228,2,84.97999999999999,3
166,1,50.0,1
166,1,50.0,1
275,1,25.0,1
176,1,25.0,1
216,2,84.97999999999999,3
216,2,84.97999999999999,3
216,2,84.97999999999999,3
211,1,25.0,1
160,1,25.0,1
238,1,99.9,1
26,1,99.9,1
30,2,298.9,3
30,2,298.9,3
204,1,99.9,1
110,1,99.9,1
126,1,99.9,1
41,1,70.0,1
33,1,70.0,1
197,1,99.9,1
110,1,201.9,0
110,1,201.9,0
74,1,99.9,1
238,1,239.89,0
238,1,239.89,0
118,1,99.9,1
75,1,99.9,1
185,1,99.9,1
69,1,99.9,1
33,1,70.0,1
40,1,70.0,1
234,1,99.9,1
41,1,70.0,1
204,1,99.9,1
110,1,99.9,1
185,1,99.9,1
228,1,99.9,1
132,1,99.9,1
214,1,99.9,1
224,1,99.9,1
272,1,99.9,2
34,1,70.0,1
80,1,99.9,1
201,1,99.9,1
16,2,238.99,3
16,2,238.99,3
16,2,238.99,3
147,1,99.9,1
215,1,99.9,1
92,1,99.9,1
232,1,99.9,1
118,1,99.9,1
115,1,99.9,1
196,1,99.9,1
104,1,99.9,1
68,1,99.9,1
25,1,99.9,1
57,1,99.9,1
46,1,69.9,1
11,1,99.9,1
106,1,99.9,1
35,1,70.0,1
224,1,99.9,1
204,1,99.9,1
126,1,99.9,1
181,1,99.9,1
183,1,99.9,1
236,1,99.9,1
41,1,70.0,1
211,1,99.9,1
281,1,99.9,2
64,1,99.9,1
162,1,99.9,1
99,1,99.9,1
102,1,99.9,1
134,1,199.8,0
134,1,199.8,0
192,1,99.9,1
213,1,199.8,0
156,1,99.9,1
162,1,99.9,1
16,1,99.9,1
169,1,99.9,1
233,1,99.9,1
27,1,74.9,1
230,1,99.9,1
63,1,99.9,1
259,1,99.9,1
182,1,208.9,0
182,1,208.9,0
59,1,99.9,1
77,1,99.9,1
140,1,99.9,1
145,1,99.9,1
108,2,269.89,3
108,2,269.89,3
21,2,249.9,3
21,2,249.9,3
150,1,99.9,1
34,1,70.0,1
121,1,99.9,1
42,1,70.0,1
65,1,99.9,1
246,1,99.9,1
108,1,99.9,1
186,1,99.9,1
41,1,70.0,1
146,1,99.9,1
167,1,99.9,1
128,1,199.8,0
128,1,199.8,0
136,1,99.9,1
229,1,99.9,1
127,1,99.9,1
181,2,158.9,3
181,2,158.9,3
280,1,25.3,2
161,1,25.3,1
177,1,25.3,1
322,1,25.3,2
208,1,129.9,0
224,1,129.9,0
243,1,129.9,0
214,1,129.9,0
295,1,129.9,0
188,1,129.9,1
413,1,129.9,2
145,1,129.9,1
359,1,99.0,2
129,1,99.0,1
450,1,99.99,2
43,1,99.0,1
42,1,99.0,1
103,1,99.0,1
89,2,248.97,3
89,2,248.97,3
126,1,27.99,1
269,2,70.99,3
269,2,70.99,3
290,1,27.99,2
155,1,27.99,1
299,1,27.99,2
221,1,27.99,1
216,1,27.99,1
120,1,27.99,1
107,1,27.99,1
155,1,84.0,1
133,1,84.6,1
165,1,84.0,1
153,1,84.6,1
137,1,84.6,1
310,1,110.0,2
411,1,99.0,2
57,1,159.0,0
211,1,129.0,0
457,1,99.0,2
312,1,110.0,2
151,1,129.0,1
433,1,99.0,2
426,1,99.0,2
480,1,99.0,2
317,1,110.0,2
183,1,129.0,1
322,1,220.0,0
322,1,220.0,0
21,1,119.9,1
335,1,119.9,2
9,2,159.89,3
9,2,159.89,3
77,1,7.09,1
111,1,84.0,1
80,1,79.9,1
403,1,89.9,2
435,1,89.9,2
462,1,89.9,2
216,1,86.9,1
354,1,179.8,0
354,1,179.8,0
168,1,86.9,1
271,1,89.9,2
189,1,86.9,1
221,2,179.9,3
221,2,179.9,3
437,1,89.9,2
515,1,89.9,2
283,1,349.79999999999995,0
283,1,349.79999999999995,0
414,1,89.9,2
514,2,163.25,3
514,2,163.25,3
487,1,89.9,2
401,1,89.9,2
283,1,89.9,2
306,1,89.9,2
544,1,89.9,2
346,1,89.9,2
468,1,89.9,2
460,1,89.9,2
166,1,86.9,1
522,1,89.9,2
431,1,89.9,2
521,1,89.9,2
497,1,89.9,2
380,1,89.9,2
504,1,89.9,2
441,1,89.9,2
210,2,296.78000000000003,3
210,2,296.78000000000003,3
210,2,296.78000000000003,3
210,2,296.78000000000003,3
90,1,79.9,1
335,1,89.9,2
68,1,79.9,1
99,2,113.23,3
99,2,113.23,3
81,1,79.9,1
11,2,155.9,3
11,2,155.9,3
490,1,89.9,2
73,1,79.9,1
271,1,179.8,0
271,1,179.8,0
423,1,89.9,2
367,1,89.9,2
401,1,89.9,2
355,1,89.9,2
391,1,89.9,2
438,1,89.9,2
380,1,89.9,2
242,1,86.9,1
436,1,89.9,2
195,1,86.9,1
375,1,179.8,0
375,1,179.8,0
403,1,89.9,2
105,1,196.8,0
105,1,196.8,0
416,1,89.9,2
371,1,89.9,2
454,1,89.9,2
211,1,86.9,1
246,1,86.9,1
487,1,89.9,2
205,1,86.9,1
126,1,83.79,1
284,1,323.70000000000005,0
284,1,323.70000000000005,0
284,1,323.70000000000005,0
423,1,89.9,2
532,1,89.9,2
221,1,86.9,1
296,1,89.9,2
410,1,359.6,0
410,1,359.6,0
410,1,359.6,0
410,1,359.6,0
351,1,89.9,2
306,1,89.9,2
109,1,86.9,1
278,1,179.8,0
278,1,179.8,0
169,2,112.7,3
169,2,112.7,3
478,1,89.9,2
351,1,179.8,0
351,1,179.8,0
498,1,89.9,2
443,1,89.9,2
445,1,189.89,0
427,1,89.9,2
181,1,86.9,1
405,1,89.9,2
281,1,89.9,2
145,1,86.9,1
409,1,179.8,0
409,1,179.8,0
546,1,89.9,2
547,1,179.8,2
547,1,179.8,2
506,1,89.9,2
348,1,179.8,0
348,1,179.8,0
283,1,89.9,2
208,1,86.9,1
493,1,89.9,2
345,2,269.70000000000005,3
345,2,269.70000000000005,3
345,2,269.70000000000005,3
366,1,89.9,2
172,1,86.9,1
111,1,84.0,1
380,1,89.9,2
276,1,89.9,2
453,1,89.9,2
304,1,89.9,2
314,1,89.9,2
410,1,89.9,2
463,1,89.9,2
266,1,86.9,1
383,1,89.9,2
450,2,169.8,3
450,2,169.8,3
552,1,89.9,2
346,1,89.9,2
376,1,179.8,0
376,1,179.8,0
283,1,89.9,2
204,1,86.9,1
242,1,160.4,0
536,1,289.70000000000005,0
536,1,289.70000000000005,0
536,1,289.70000000000005,0
74,1,79.9,1
541,1,89.9,2
283,1,89.9,2
238,2,263.70000000000005,3
238,2,263.70000000000005,3
238,2,263.70000000000005,3
301,2,145.8,3
301,2,145.8,3
400,1,89.9,2
21,1,148.0,1
21,1,148.0,1
395,1,89.9,2
274,1,179.8,0
274,1,179.8,0
483,1,89.9,2
424,1,89.9,2
418,1,269.70000000000005,0
168,1,209.8,0
168,1,209.8,0
464,1,89.9,2
436,1,89.9,2
69,1,79.9,1
363,1,89.9,2
501,1,179.8,2
501,1,179.8,2
421,1,89.9,2
543,1,179.8,2
543,1,179.8,2
384,1,89.9,2
388,1,89.9,2
510,1,89.9,2
61,1,79.9,1
110,1,86.9,1
60,1,79.9,1
455,1,89.9,2
209,1,86.9,1
462,1,89.9,2
462,1,89.9,2
401,1,89.9,2
391,1,89.9,2
396,1,89.9,2
525,1,89.9,2
350,1,89.9,2
215,2,178.3,3
215,2,178.3,3
215,2,178.3,3
418,1,89.9,2
189,1,86.9,1
388,1,89.9,2
240,1,86.9,1
84,1,239.7,0
84,1,239.7,0
84,1,239.7,0
178,1,86.9,1
122,1,84.0,1
453,1,179.8,0
453,1,179.8,0
170,1,86.9,1
536,1,89.9,2
430,1,89.9,2
380,1,89.9,2
117,1,84.0,1
85,1,79.9,1
488,1,89.9,2
311,1,89.9,2
488,1,89.9,2
393,1,89.9,2
238,1,86.9,1
184,1,86.9,1
421,1,89.9,2
451,1,89.9,2
388,1,89.9,2
499,1,89.9,2
405,2,113.88,3
405,2,113.88,3
514,1,89.9,2
455,1,89.9,2
208,1,86.9,1
176,1,173.8,0
176,1,173.8,0
319,1,89.9,2
455,1,89.9,2
520,1,89.9,2
113,1,84.0,1
483,1,89.9,2
383,1,89.9,2
434,1,89.9,2
448,1,89.9,2
539,1,89.9,2
424,1,89.9,2
422,1,89.9,2
518,1,89.9,2
417,1,179.8,0
417,1,179.8,0
525,1,89.9,2
207,1,86.9,1
95,1,79.9,1
502,1,89.9,2
300,1,89.9,2
520,2,154.96,3
520,2,154.96,3
87,1,79.9,1
464,1,89.9,2
28,1,74.0,1
423,1,89.9,2
29,1,74.0,1
102,1,84.0,1
550,1,89.9,2
419,1,89.9,2
452,1,89.9,2
437,1,89.9,2
388,1,89.9,2
435,2,104.8,3
435,2,104.8,3
281,1,89.9,2
475,1,89.9,2
499,1,89.9,2
469,1,89.9,2
281,1,89.9,2
15,1,74.0,1
419,1,89.9,2
440,1,89.9,2
429,1,89.9,2
427,1,89.9,2
500,1,89.9,2
229,1,86.9,1
230,1,86.9,1
462,1,89.9,2
62,1,79.9,1
458,1,89.9,2
423,1,89.9,2
431,1,179.8,0
431,1,179.8,0
515,1,89.9,2
407,1,89.9,2
80,2,238.7,3
80,2,238.7,3
80,2,238.7,3
539,1,89.9,2
345,1,89.9,2
463,1,89.9,2
163,1,86.9,1
100,1,79.9,1
503,1,199.8,0
503,1,199.8,0
243,1,196.8,0
243,1,196.8,0
210,1,86.9,1
137,1,86.0,1
248,1,86.9,1
115,1,84.0,1
182,1,86.9,1
238,1,86.9,1
305,1,89.9,2
300,1,89.9,2
201,1,86.9,1
102,1,84.0,1
356,1,89.9,2
85,1,159.8,0
189,1,86.9,1
178,2,111.8,3
178,2,111.8,3
472,1,89.9,2
285,1,89.9,2
373,1,89.9,2
123,1,84.0,1
397,1,89.9,2
21,1,74.0,1
551,1,89.9,2
352,1,89.9,2
441,1,89.9,2
273,1,246.9,0
273,1,246.9,0
85,1,79.9,1
319,1,179.8,0
319,1,179.8,0
415,1,89.9,2
251,1,86.9,1
274,2,184.89,3
274,2,184.89,3
274,2,184.89,3
440,1,89.9,2
283,2,358.9,3
283,2,358.9,3
366,1,89.9,2
483,1,89.9,2
235,3,300.74,3
235,3,300.74,3
503,1,179.8,2
503,1,179.8,2
490,1,89.9,2
417,1,89.9,2
283,1,89.9,2
280,1,179.8,0
280,1,179.8,0
117,1,170.9,0
117,1,170.9,0
82,1,79.9,1
250,1,86.9,1
470,1,89.9,2
546,1,89.9,2
416,1,89.9,2
280,2,173.2,3
280,2,173.2,3
